player_id,year,team,is_finals,games_played,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists,total_score,total_fantasy_points,total_percentage_played,avg_kicks,avg_marks,avg_handballs,avg_disposals,avg_goals,avg_behinds,avg_hit_outs,avg_tackles,avg_rebound_50s,avg_inside_50s,avg_clearances,avg_clangers,avg_free_kicks_for,avg_free_kicks_against,avg_contested_possessions,avg_uncontested_possessions,avg_contested_marks,avg_marks_inside_50,avg_one_percenters,avg_bounces,avg_goal_assists,avg_score,avg_fantasy_points,avg_percentage_played,id,player_name,player_full_name,first_name,last_name,born_date,debut_date,debut_age,last_date,last_age,height,weight,profile_pic,player_link,player_common_names,player_teams
43363,2017,Adelaide Crows,False,3,15.0,10.0,23.0,38.0,1.0,0.0,0.0,9.0,0.0,8.0,0.0,6.0,2.0,2.0,0.0,13.0,25.0,0.0,0.0,1.0,0.0,0.0,6,159,229.0,5.0,3.3,7.7,12.7,0.3,0.0,0.0,3.0,0.0,2.7,0.0,2.0,0.7,0.7,4.3,8.3,0.0,0.0,0.3,0.0,0.0,2.0,53.0,76.3,,,,,,,,,,,,,,,,
43364,2004,West Coast Eagles,False,1,1.0,1.0,4.0,5.0,0.0,0.0,8.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0,39,58.0,1.0,1.0,4.0,5.0,0.0,0.0,8.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,39.0,58.0,,,,,,,,,,,,,,,,
43365,2022,Collingwood Magpies,False,3,9.0,8.0,21.0,30.0,0.0,0.0,9.0,7.0,1.0,6.0,4.0,6.0,4.0,1.0,0.0,15.0,15.0,1.0,1.0,2.0,0.0,1.0,0,131,178.0,3.0,2.7,7.0,10.0,0.0,0.0,3.0,2.3,0.3,2.0,1.3,2.0,1.3,0.3,5.0,5.0,0.3,0.3,0.7,0.0,0.3,0.0,43.7,59.3,,,,,,,,,,,,,,,,
43379,2008,Adelaide Crows,True,1,9.0,2.0,6.0,15.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,5.0,11.0,0.0,0.0,1.0,1.0,0.0,0,46,82.0,9.0,2.0,6.0,15.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,0.0,1.0,5.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,46.0,82.0,,,,,,,,,,,,,,,,
43378,2009,Fremantle Dockers,False,4,17.0,7.0,12.0,29.0,3.0,2.0,0.0,15.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,11.0,19.0,1.0,3.0,7.0,0.0,1.0,20,177,317.0,4.3,1.8,3.0,7.3,0.8,0.5,0.0,3.8,0.0,0.8,0.8,0.8,0.3,0.0,2.8,4.8,0.3,0.8,1.8,0.0,0.3,5.0,44.3,79.3,,,,,,,,,,,,,,,,
43378,2010,Fremantle Dockers,False,18,81.0,37.0,118.0,199.0,3.0,3.0,0.0,54.0,23.0,15.0,21.0,27.0,14.0,15.0,1.0,90.0,112.0,5.0,3.0,32.0,1.0,0.0,21,796,1543.0,4.5,2.1,6.6,11.1,0.2,0.2,0.0,3.0,1.3,0.8,1.2,1.5,0.8,0.8,5.0,6.2,0.3,0.2,1.8,0.1,0.0,1.2,44.2,85.7,,,,,,,,,,,,,,,,
43378,2011,Fremantle Dockers,False,8,37.0,13.0,61.0,98.0,4.0,1.0,0.0,29.0,6.0,12.0,4.0,16.0,10.0,7.0,0.0,45.0,53.0,4.0,2.0,19.0,0.0,1.0,25,402,676.0,4.6,1.6,7.6,12.3,0.5,0.1,0.0,3.6,0.8,1.5,0.5,2.0,1.3,0.9,5.6,6.6,0.5,0.3,2.4,0.0,0.1,3.1,50.3,84.5,,,,,,,,,,,,,,,,
43378,2012,Fremantle Dockers,False,2,8.0,3.0,5.0,13.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,5.0,9.0,0.0,0.0,6.0,0.0,0.0,0,57,84.0,4.0,1.5,2.5,6.5,0.0,0.0,0.5,2.0,1.0,1.0,0.5,1.0,0.0,0.5,2.5,4.5,0.0,0.0,3.0,0.0,0.0,0.0,28.5,42.0,,,,,,,,,,,,,,,,
43379,2005,Adelaide Crows,False,10,43.0,19.0,27.0,70.0,1.0,2.0,0.0,11.0,8.0,18.0,9.0,18.0,5.0,6.0,0.0,25.0,47.0,2.0,1.0,12.0,1.0,3.0,8,279,502.0,4.3,1.9,2.7,7.0,0.1,0.2,0.0,1.1,0.8,1.8,0.9,1.8,0.5,0.6,2.5,4.7,0.2,0.1,1.2,0.1,0.3,0.8,27.9,50.2,,,,,,,,,,,,,,,,
43379,2005,Adelaide Crows,True,1,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0,8,21.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0,21.0,,,,,,,,,,,,,,,,
