player_id,year,team,games_played,feat_prev_cpi,feat_prev_disposals,feat_prev_goals,feat_prev_games,feat_career_seasons,feat_position_proxy,target_is_top_disposal,target_is_top_goal,target_is_top_cpi,target_cpi_raw
45212,2010,North Melbourne Kangaroos,19,37.6,19.3,0.6,7.0,7,General,0,0,0,42.2
45212,2011,North Melbourne Kangaroos,21,42.2,20.8,0.8,19.0,8,General,1,0,1,51.05
45212,2012,North Melbourne Kangaroos,19,51.05,23.4,0.8,21.0,9,Midfielder,1,0,1,47.04999999999999
45212,2013,North Melbourne Kangaroos,22,47.04999999999999,22.4,0.7,19.0,10,Midfielder,0,0,0,46.099999999999994
45212,2014,North Melbourne Kangaroos,7,46.099999999999994,21.3,1.1,22.0,11,Midfielder,0,0,0,37.1
45212,2015,North Melbourne Kangaroos,2,37.1,17.4,0.6,7.0,12,Midfielder,0,0,0,22.0
45212,2016,North Melbourne Kangaroos,18,22.0,11.0,0.0,2.0,13,Midfielder,0,0,1,49.85
45212,2017,Collingwood Magpies,10,49.85,23.0,0.3,18.0,14,Midfielder,0,0,0,39.85
45212,2018,Collingwood Magpies,4,39.85,18.5,1.1,10.0,15,General,0,0,0,28.8
45212,2019,Collingwood Magpies,1,28.8,12.5,0.5,4.0,16,General,0,0,0,30.5
45213,2002,Essendon Bombers,13,,,,,0,General,0,0,0,21.599999999999998
45213,2003,Essendon Bombers,20,21.599999999999998,9.8,0.0,13.0,1,Defender,0,0,0,29.299999999999997
45213,2004,Essendon Bombers,20,29.299999999999997,15.2,0.2,20.0,2,Defender,0,0,0,30.8
45213,2005,Essendon Bombers,21,30.8,16.6,0.1,20.0,3,Defender,0,0,0,34.55
45213,2006,Essendon Bombers,20,34.55,17.9,0.1,21.0,4,Defender,0,0,0,38.199999999999996
45213,2007,Essendon Bombers,17,38.199999999999996,19.5,0.1,20.0,5,Defender,0,0,0,36.249999999999986
45213,2008,Essendon Bombers,17,36.249999999999986,16.9,0.5,17.0,6,General,0,0,0,39.0
45213,2009,Essendon Bombers,10,39.0,17.3,0.5,17.0,7,General,0,0,0,45.050000000000004
45213,2010,Essendon Bombers,11,45.050000000000004,20.3,0.2,10.0,8,Midfielder,0,0,0,37.45
45213,2011,Essendon Bombers,6,37.45,16.8,0.1,11.0,9,General,0,0,0,19.099999999999998
45214,2007,Port Adelaide Power,13,,,,,0,General,0,1,0,30.999999999999993
45214,2008,Port Adelaide Power,21,30.999999999999993,9.0,2.5,13.0,1,Forward,0,0,0,30.150000000000002
45214,2009,Port Adelaide Power,13,30.150000000000002,11.3,1.0,21.0,2,General,0,0,0,31.0
45214,2010,Port Adelaide Power,19,31.0,12.2,1.5,13.0,3,Forward,0,0,0,35.35000000000001
45214,2011,Port Adelaide Power,20,35.35000000000001,15.2,0.9,19.0,4,General,0,0,0,38.35
45214,2012,Port Adelaide Power,22,38.35,15.9,1.2,20.0,5,Forward,0,0,0,37.3
45214,2013,Port Adelaide Power,21,37.3,15.8,1.3,22.0,6,Forward,0,0,0,42.050000000000004
45214,2014,Port Adelaide Power,22,42.050000000000004,18.0,1.3,21.0,7,Forward,0,0,0,42.050000000000004
45214,2015,Port Adelaide Power,22,42.050000000000004,18.6,1.2,22.0,8,Forward,0,0,0,44.15
45214,2016,Port Adelaide Power,22,44.15,18.1,1.1,22.0,9,General,0,0,0,39.05
45214,2017,Port Adelaide Power,22,39.05,16.5,1.0,22.0,10,General,0,0,0,41.250000000000014
45214,2018,Port Adelaide Power,22,41.250000000000014,19.1,0.7,22.0,11,General,0,0,1,47.099999999999994
45214,2019,Port Adelaide Power,20,47.099999999999994,19.9,1.1,22.0,12,Midfielder,0,0,0,36.7
45214,2020,Port Adelaide Power,12,36.7,17.4,0.6,20.0,13,General,0,0,0,24.95
45215,2021,Fremantle Dockers,4,,,,,0,General,0,0,0,11.25
45216,2008,PORT ADELAIDE POWER,3,,,,,0,General,0,0,0,26.400000000000002
45216,2009,PORT ADELAIDE POWER,3,26.400000000000002,9.3,1.0,3.0,1,General,0,0,0,19.8
45217,2021,West Coast Eagles,5,,,,,0,General,0,0,0,26.1
45217,2022,West Coast Eagles,14,26.1,12.6,0.2,5.0,1,General,0,0,0,30.2
45217,2023,West Coast Eagles,9,30.2,14.1,0.2,14.0,2,General,0,0,0,20.35
45218,2019,Western Bulldogs,2,,,,,0,General,0,0,0,24.5
45218,2020,Western Bulldogs,4,24.5,14.0,1.0,2.0,1,General,0,0,0,21.8
45218,2021,Western Bulldogs,4,21.8,12.0,0.3,4.0,2,General,0,0,0,5.25
45218,2022,Western Bulldogs,14,5.25,2.3,0.0,4.0,3,General,0,0,0,27.299999999999997
45218,2023,Western Bulldogs,12,27.299999999999997,11.6,0.8,14.0,4,General,0,0,0,26.399999999999995
45218,2024,Western Bulldogs,21,26.399999999999995,11.4,0.6,12.0,5,General,0,0,0,35.1
45218,2025,Western Bulldogs,23,35.1,12.1,1.7,21.0,6,Forward,0,0,0,36.550000000000004
45219,2008,Geelong Cats,6,,,,,0,General,0,0,0,14.05
45219,2009,Geelong Cats,1,14.05,5.8,0.2,6.0,1,General,0,0,0,-1.0
45219,2010,Geelong Cats,4,-1.0,0.0,0.0,1.0,2,Ruck,0,0,0,17.45
45219,2011,Geelong Cats,6,17.45,8.0,0.5,4.0,3,Ruck,0,0,0,31.0
45219,2012,Geelong Cats,20,31.0,10.2,0.8,6.0,4,Ruck,0,0,0,23.349999999999998
45219,2013,Geelong Cats,13,23.349999999999998,10.2,0.4,20.0,5,Ruck,0,0,0,18.650000000000006
45219,2014,Brisbane Lions,10,18.650000000000006,9.8,0.4,13.0,6,Ruck,0,0,0,23.550000000000004
45219,2015,Brisbane Lions,2,23.550000000000004,10.5,0.4,10.0,7,Ruck,0,0,0,9.75
45219,2016,Brisbane Lions,4,9.75,3.0,0.5,2.0,8,General,0,0,0,18.0
45220,2012,Greater Western Sydney Giants,3,,,,,0,General,0,0,0,22.549999999999997
45220,2013,Greater Western Sydney Giants,7,22.549999999999997,11.7,0.0,3.0,1,General,0,0,0,22.849999999999998
45220,2014,Greater Western Sydney Giants,2,22.849999999999998,7.6,0.1,7.0,2,General,0,0,0,45.75
45220,2015,Carlton Blues,8,45.75,18.0,0.5,2.0,3,Midfielder,0,0,0,28.5
45220,2016,Carlton Blues,1,28.5,11.9,0.1,8.0,4,Midfielder,0,0,0,23.0
45221,2009,Hawthorn Hawks,13,,,,,0,General,0,0,0,33.2
45221,2010,Hawthorn Hawks,15,33.2,17.8,0.1,13.0,1,Defender,0,0,0,27.750000000000004
45221,2011,Hawthorn Hawks,18,27.750000000000004,12.5,0.5,15.0,2,General,0,0,0,37.499999999999986
45221,2012,Hawthorn Hawks,21,37.499999999999986,15.7,0.9,18.0,3,General,0,0,0,43.800000000000004
45221,2013,Hawthorn Hawks,10,43.800000000000004,20.8,0.4,21.0,4,General,0,0,0,31.999999999999996
45221,2015,Hawthorn Hawks,4,31.999999999999996,15.4,0.3,10.0,5,Defender,0,0,0,21.950000000000003
45221,2016,Hawthorn Hawks,7,21.950000000000003,11.0,0.0,4.0,6,General,0,0,0,36.70000000000001
45221,2017,Hawthorn Hawks,8,36.70000000000001,17.4,0.3,7.0,7,General,0,0,0,30.3
